letter	frequency
AL	7.7
AK	9.0
AZ	9.3
AR	6.1
CA	10.7
CO	12.7
CT	15.5
DE	11.4
DC	28.0
FL	9.0
GA	9.9
HI	9.9
ID	7.5
IL	11.7
IN	8.1
IA	7.4
KS	10.2
KY	8.5
LA	6.9
ME	9.6
MD	16.0
MA	16.4
MI	9.4
MN	10.3
MS	7.1
MO	9.5
MT	8.3
NE	8.8
NV	7.6
NH	11.2
NJ	12.9
NM	10.4
NY	14.0
NC	8.8
ND	6.7
OH	8.8
OK	7.4
OR	10.4
PA	10.2
RI	11.7
SC	8.4
SD	7.3
TN	7.9
TX	8.5
UT	9.1
VT	13.3
VA	14.1
WA	11.1
WV	6.7
WI	8.4
WY	7.9
