letter	frequency
AL	22.0
AK	26.6
AZ	25.6
AR	18.9
CA	29.9
CO	35.9
CT	35.6
DE	28.7
DC	48.5
FL	25.3
GA	27.5
HI	29.6
ID	23.9
IL	30.6
IN	22.5
IA	25.1
KS	29.5
KY	21.0
LA	21.4
ME	26.9
MD	35.7
MA	38.2
MI	24.6
MN	31.5
MS	19.6
MO	25.2
MT	27.4
NE	27.4
NV	21.8
NH	32.0
NJ	34.5
NM	25.3
NY	32.4
NC	26.5
ND	25.8
OH	24.1
OK	22.7
OR	29.2
PA	26.4
RI	30.5
SC	24.3
SD	25.1
TN	23.0
TX	25.5
UT	28.5
VT	33.1
VA	34.0
WA	31.0
WV	17.3
WI	25.7
WY	23.8
