Year	HighSchool	Bachelor	Advanced
1990~2000	5.1637919	4.06388504	1.660472958
2000~2006	3.70117652	2.59837273	1.039527042
2006~2007	0.4	0.5	0.2
2007~2008	0.5	0.2	0.1
2008~2009	0.3	0.2	0.1
