Year	High School	Bachelor	Advanced
1990	75.23503158	20.33774223	7.2
2000	80.39882348	24.40162727	8.860472958
2006	84.1	27	9.9
2007	84.5	27.5	10.1
2008	85	27.7	10.2
2009	85.3	27.9	10.3
